# CUDA_PROFILE_LOG_VERSION 1.4
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce GTX 280
timestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,memTransferDir,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b
6451.2,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,8984.35,9000.46,0.25,1,1,256,1,1,0,8332,25,0,,,4608,388,0,0,91856,343,1156083,5907,1,0,4608,0,8,93,0
15561.2,memcopy,3.616,15.093,,,,,,,,,,,4,1
15590.6,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,12018.3,12031.8,0.75,1,1,256,1,1,0,2100,18,0,,,0,0,0,0,0,0,0,0,1,0,5635,0,0,0,0
27715.7,memcopy,3.392,13.498,,,,,,,,,,,4,1
27749.4,_Z31bisectKernelLarge_MultIntervalsPfS_jPjS0_S_S_S0_S0_S_S0_f,34255.7,34268.5,0.25,1,23,256,1,1,0,10336,16,0,,,14870,332,0,0,0,0,0,0,3,13,23052,0,22,40,22
62156,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,8986.91,9000.18,0.25,1,1,256,1,1,0,8332,25,0,,,0,0,0,0,91856,343,1156083,5965,1,0,4608,0,0,0,0
71252.4,memcopy,3.392,13.473,,,,,,,,,,,4,1
71280,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,12017.7,12030,0.75,1,1,256,1,1,0,2100,18,0,,,0,0,0,0,59263,212,713791,2811,1,0,5635,0,0,0,0
83399.3,memcopy,3.392,13.313,,,,,,,,,,,4,1
83432.8,_Z31bisectKernelLarge_MultIntervalsPfS_jPjS0_S_S_S0_S0_S_S0_f,34258.7,34270.7,0.25,1,23,256,1,1,0,10336,16,0,,,15886,308,0,0,0,0,0,0,2,6,13316,4,22,24,24
117838,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,8982.59,8995.06,0.25,1,1,256,1,1,0,8332,25,0,,,4608,388,0,0,0,0,0,0,0,0,0,0,0,0,0
126925,memcopy,3.424,13.637,,,,,,,,,,,4,1
126953,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,12018.5,12031,0.75,1,1,256,1,1,0,2100,18,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139075,memcopy,3.392,14.185,,,,,,,,,,,4,1
139108,_Z31bisectKernelLarge_MultIntervalsPfS_jPjS0_S_S_S0_S0_S_S0_f,34261.5,37930.6,0.25,1,23,256,1,1,0,10336,16,0,,,14870,332,0,0,288666,643,4005216,5331,2,14,15368,0,22,40,22
177493,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,8985.79,25250,0.25,1,1,256,1,1,0,8332,25,0,,,4608,388,0,0,91856,343,1156084,5874,1,0,4608,0,8,93,0
202934,memcopy,3.872,537.804,,,,,,,,,,,4,1
203489,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,12018.5,13798.1,0.75,1,1,256,1,1,0,2100,18,0,,,5635,4,0,0,59263,212,713792,2809,1,0,5635,0,0,1,0
218569,memcopy,4.032,533.323,,,,,,,,,,,4,1
219124,_Z31bisectKernelLarge_MultIntervalsPfS_jPjS0_S_S_S0_S0_S_S0_f,34270.1,35308.9,0.25,1,23,256,1,1,0,10336,16,0,,,23065,380,0,0,296044,689,4074726,5271,3,13,23052,0,28,20,20
254553,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,8978.27,8990.73,0.25,1,1,256,1,1,0,8332,25,0,,,0,0,0,0,91856,343,1156082,5935,0,0,0,0,0,0,0
263635,memcopy,3.616,14.474,,,,,,,,,,,4,1
263661,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,12017.5,12030,0.75,1,1,256,1,1,0,2100,18,0,,,0,0,0,0,59263,212,713790,2809,0,0,0,0,0,0,0
275782,memcopy,3.424,14.265,,,,,,,,,,,4,1
275812,_Z31bisectKernelLarge_MultIntervalsPfS_jPjS0_S_S_S0_S0_S_S0_f,34254.7,34266.8,0.25,1,23,256,1,1,0,10336,16,0,,,13326,332,0,0,0,0,0,0,2,6,13312,8,38,10,22
310191,_Z17bisectKernelLargePfS_jffjjfPjS0_S_S_S0_S_S_S0_S0_S0_S0_,8979.62,8991.96,0.25,1,1,256,1,1,0,8332,25,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319271,memcopy,3.424,13.473,,,,,,,,,,,4,1
319294,_Z30bisectKernelLarge_OneIntervalsPfS_jjS_S_Pjf,12017.1,12029.5,0.75,1,1,256,1,1,0,2100,18,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
331411,memcopy,3.424,14.121,,,,,,,,,,,4,1
