# CUDA_PROFILE_LOG_VERSION 1.4
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce GTX 280
timestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,memTransferDir,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b
19073,memcopy,1649.41,3638.74,,,,,,,,,,,4194304,0
22773.6,_Z12reduce2_sm10IiEvPT_S1_,245.92,262.4,1,1,8192,128,1,1,512,32,4,0,,,6560,1640,0,0,18632,274,95106,0,820,0,6560,0,820,0,0
23185.8,_Z12reduce2_sm10IiEvPT_S1_,245.28,257.072,1,1,8192,128,1,1,512,32,4,0,,,6552,1638,0,0,18564,273,94744,0,819,0,6552,0,819,0,0
23532.5,_Z12reduce2_sm10IiEvPT_S1_,4.48,17.191,1,1,64,128,1,1,512,32,4,0,,,48,12,0,0,136,2,702,0,6,0,48,0,6,0,0
23638,_Z12reduce2_sm10IiEvPT_S1_,3.168,15.182,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23742.8,_Z12reduce2_sm10IiEvPT_S1_,244.544,257.296,1,1,8192,128,1,1,512,32,4,0,,,6560,1640,0,0,18564,273,94747,0,820,0,6560,0,820,0,0
24087.7,_Z12reduce2_sm10IiEvPT_S1_,4.448,17.041,1,1,64,128,1,1,512,32,4,0,,,48,12,0,0,136,2,702,0,6,0,48,0,6,0,0
24192.8,_Z12reduce2_sm10IiEvPT_S1_,3.104,14.908,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24296.8,_Z12reduce2_sm10IiEvPT_S1_,244.864,257.027,1,1,8192,128,1,1,512,32,4,0,,,6552,1638,0,0,18564,273,94747,0,819,0,6552,0,819,0,0
24641.6,_Z12reduce2_sm10IiEvPT_S1_,4.512,16.453,1,1,64,128,1,1,512,32,4,0,,,56,14,0,0,136,2,702,0,7,0,56,0,7,0,0
24746,_Z12reduce2_sm10IiEvPT_S1_,3.072,15.825,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24851.4,_Z12reduce2_sm10IiEvPT_S1_,245.056,257.799,1,1,8192,128,1,1,512,32,4,0,,,6552,1638,0,0,18564,273,94747,0,819,0,6552,0,819,0,0
25197,_Z12reduce2_sm10IiEvPT_S1_,4.512,17.505,1,1,64,128,1,1,512,32,4,0,,,48,12,0,0,136,2,702,0,6,0,48,0,6,0,0
25302.6,_Z12reduce2_sm10IiEvPT_S1_,3.136,15.222,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25407.2,_Z12reduce2_sm10IiEvPT_S1_,245.28,257.346,1,1,8192,128,1,1,512,32,4,0,,,6560,1640,0,0,18632,274,95096,0,820,0,6560,0,820,0,0
25752.3,_Z12reduce2_sm10IiEvPT_S1_,4.48,16.408,1,1,64,128,1,1,512,32,4,0,,,48,12,0,0,136,2,702,0,6,0,48,0,6,0,0
25857,_Z12reduce2_sm10IiEvPT_S1_,3.104,15.068,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25961.6,_Z12reduce2_sm10IiEvPT_S1_,245.472,257.47,1,1,8192,128,1,1,512,32,4,0,,,6552,1638,0,0,18564,273,94747,0,819,0,6552,0,819,0,0
26307.2,_Z12reduce2_sm10IiEvPT_S1_,4.544,16.623,1,1,64,128,1,1,512,32,4,0,,,56,14,0,0,136,2,702,0,7,0,56,0,7,0,0
26412,_Z12reduce2_sm10IiEvPT_S1_,3.104,16.214,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26518.1,_Z12reduce2_sm10IiEvPT_S1_,245.088,256.658,1,1,8192,128,1,1,512,32,4,0,,,6552,1638,0,0,18564,273,94747,0,819,0,6552,0,819,0,0
26863,_Z12reduce2_sm10IiEvPT_S1_,4.608,17.231,1,1,64,128,1,1,512,32,4,0,,,48,12,0,0,136,2,702,0,6,0,48,0,6,0,0
26968.3,_Z12reduce2_sm10IiEvPT_S1_,3.008,15.103,0.5,1,1,64,1,1,256,32,4,0,,,4,2,0,0,0,0,0,0,1,0,4,0,1,0,0
27073,_Z12reduce2_sm10IiEvPT_S1_,245.312,257.186,1,1,8192,128,1,1,512,32,4,0,,,6552,1638,0,0,18564,273,94747,0,819,0,6552,0,819,0,0
27418.2,_Z12reduce2_sm10IiEvPT_S1_,4.512,17.306,1,1,64,128,1,1,512,32,4,0,,,48,12,0,0,136,2,702,0,6,0,48,0,6,0,0
27523.6,_Z12reduce2_sm10IiEvPT_S1_,3.136,15.117,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27628.3,_Z12reduce2_sm10IiEvPT_S1_,245.44,257.465,1,1,8192,128,1,1,512,32,4,0,,,6552,1638,0,0,18564,273,94747,0,819,0,6552,0,819,0,0
27973.4,_Z12reduce2_sm10IiEvPT_S1_,4.48,17.161,1,1,64,128,1,1,512,32,4,0,,,56,14,0,0,204,3,1053,0,7,0,56,0,7,0,0
28078.3,_Z12reduce2_sm10IiEvPT_S1_,3.072,15.127,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28182.5,_Z12reduce2_sm10IiEvPT_S1_,245.536,257.415,1,1,8192,128,1,1,512,32,4,0,,,6552,1638,0,0,18564,273,94747,0,819,0,6552,0,819,0,0
28527.7,_Z12reduce2_sm10IiEvPT_S1_,4.576,16.553,1,1,64,128,1,1,512,32,4,0,,,56,14,0,0,136,2,702,0,7,0,56,0,7,0,0
28632.6,_Z12reduce2_sm10IiEvPT_S1_,3.008,15.103,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28737.1,_Z12reduce2_sm10IiEvPT_S1_,245.696,257.495,1,1,8192,128,1,1,512,32,4,0,,,6552,1638,0,0,18564,273,94747,0,819,0,6552,0,819,0,0
29082.5,_Z12reduce2_sm10IiEvPT_S1_,4.512,16.623,1,1,64,128,1,1,512,32,4,0,,,48,12,0,0,136,2,702,0,6,0,48,0,6,0,0
29187,_Z12reduce2_sm10IiEvPT_S1_,3.136,15.89,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29292.3,_Z12reduce2_sm10IiEvPT_S1_,245.088,257.849,1,1,8192,128,1,1,512,32,4,0,,,6560,1640,0,0,18564,273,94747,0,820,0,6560,0,820,0,0
29638.3,_Z12reduce2_sm10IiEvPT_S1_,4.416,16.279,1,1,64,128,1,1,512,32,4,0,,,48,12,0,0,136,2,702,0,6,0,48,0,6,0,0
29742.5,_Z12reduce2_sm10IiEvPT_S1_,3.104,15.117,0.5,1,1,64,1,1,256,32,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29846.7,_Z12reduce2_sm10IiEvPT_S1_,245.152,257.047,1,1,8192,128,1,1,512,32,4,0,,,6552,1638,0,0,18564,273,94747,0,819,0,6552,0,819,0,0
