# CUDA_PROFILE_LOG_VERSION 1.4
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce GTX 280
timestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,memTransferDir,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b
10604.8,_Z10scan_naivePfS_i,126.432,142.462,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38916,0,26,390,416,416,0,832,0
10848.3,_Z10scan_naivePfS_i,126.784,139.257,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
11078.1,_Z10scan_naivePfS_i,126.592,138.813,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
11306.6,_Z10scan_naivePfS_i,128.64,140.912,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
11536.9,_Z10scan_naivePfS_i,128.32,141.425,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
11767.4,_Z10scan_naivePfS_i,125.984,138.415,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
11994.9,_Z10scan_naivePfS_i,128.864,141.445,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2560,0,34592,0,26,390,416,416,0,832,0
12230.7,_Z10scan_naivePfS_i,128.192,141.425,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2880,0,38912,0,25,375,400,400,0,800,0
12474.2,_Z10scan_naivePfS_i,125.696,140.02,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2560,0,34592,0,26,390,416,416,0,832,0
12711.3,_Z10scan_naivePfS_i,125.696,138.415,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2880,0,38912,0,25,375,400,400,0,800,0
12945.5,_Z10scan_naivePfS_i,126.848,140.349,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2560,0,34592,0,26,390,416,416,0,832,0
13175.8,_Z10scan_naivePfS_i,126.432,138.818,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
13403.5,_Z10scan_naivePfS_i,128.416,140.518,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
13633.3,_Z10scan_naivePfS_i,125.728,139.162,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
13861.7,_Z10scan_naivePfS_i,128.928,142.078,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
14092.5,_Z10scan_naivePfS_i,126.72,139.152,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
14320.6,_Z10scan_naivePfS_i,126.496,138.744,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
14548.5,_Z10scan_naivePfS_i,127.936,141.281,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
14778.7,_Z10scan_naivePfS_i,128.48,141.605,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
15009.2,_Z10scan_naivePfS_i,128.768,140.867,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
15239.2,_Z10scan_naivePfS_i,126.368,138.554,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
15467,_Z10scan_naivePfS_i,128.64,141.116,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2560,0,34592,0,26,390,416,416,0,832,0
15697.5,_Z10scan_naivePfS_i,125.728,137.916,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2880,0,38912,0,25,375,400,400,0,800,0
15924,_Z10scan_naivePfS_i,126.656,140.045,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2560,0,34592,0,26,390,416,416,0,832,0
16152.9,_Z10scan_naivePfS_i,128.448,140.962,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2880,0,38912,0,25,375,400,400,0,800,0
16382.6,_Z10scan_naivePfS_i,129.056,141.266,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2560,0,34592,0,26,390,416,416,0,832,0
16613.2,_Z10scan_naivePfS_i,126.784,139.337,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
16841.4,_Z10scan_naivePfS_i,126.368,138.569,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
17069.4,_Z10scan_naivePfS_i,128.576,140.822,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
17299.4,_Z10scan_naivePfS_i,128.768,141.186,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
17529.7,_Z10scan_naivePfS_i,125.568,138.27,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
17756.9,_Z10scan_naivePfS_i,127.392,139.875,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
17986.3,_Z10scan_naivePfS_i,127.392,139.83,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
18233.2,_Z10scan_naivePfS_i,125.568,137.926,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
18460.2,_Z10scan_naivePfS_i,126.528,138.863,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
18694,_Z10scan_naivePfS_i,126.752,139.272,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
18922.7,_Z10scan_naivePfS_i,126.944,139.292,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2560,0,34592,0,26,390,416,416,0,832,0
19150.9,_Z10scan_naivePfS_i,128.736,141.45,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2880,0,38912,0,25,375,400,400,0,800,0
19381.1,_Z10scan_naivePfS_i,128.928,141.276,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2560,0,34592,0,26,390,416,416,0,832,0
19611,_Z10scan_naivePfS_i,127.424,139.666,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2880,0,38912,0,25,375,400,400,0,800,0
19839.6,_Z10scan_naivePfS_i,127.424,139.671,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2560,0,34592,0,26,390,416,416,0,832,0
20067.9,_Z10scan_naivePfS_i,128.48,141.555,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
20297.9,_Z10scan_naivePfS_i,127.072,139.402,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
20526,_Z10scan_naivePfS_i,128.448,140.693,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
20755,_Z10scan_naivePfS_i,126.976,139.461,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
20983.1,_Z10scan_naivePfS_i,127.232,140.478,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
21211.3,_Z10scan_naivePfS_i,127.68,140.04,1,1,256,512,1,1,4352,32,8,0,,,1222,3328,0,0,2880,0,38912,0,26,390,416,416,0,832,0
21439.3,_Z10scan_naivePfS_i,126.752,139.172,1,1,256,512,1,1,4352,32,8,0,,,1175,3200,0,0,2560,0,34592,0,25,375,400,400,0,800,0
